Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
         1, 1/01/2012, 0:08:13,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         2, 1/01/2012, 0:08:14,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         3, 1/01/2012, 0:08:15,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         4, 1/01/2012, 0:08:16,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         5, 1/01/2012, 0:08:17,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         6, 1/01/2012, 0:08:18,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         7, 1/01/2012, 0:08:19,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         8, 1/01/2012, 0:08:20,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
         9, 1/01/2012, 0:08:21,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        10, 1/01/2012, 0:08:22,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        11, 1/01/2012, 0:08:23,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        12, 1/01/2012, 0:08:24,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        13, 1/01/2012, 0:08:25,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        14, 1/01/2012, 0:08:26,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        15, 1/01/2012, 0:08:27,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        16, 1/01/2012, 0:08:28,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        17, 1/01/2012, 0:08:29,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        18, 1/01/2012, 0:08:30,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        19, 1/01/2012, 0:08:31,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        20, 1/01/2012, 0:08:32,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        21, 1/01/2012, 0:08:33,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        22, 1/01/2012, 0:08:34,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        23, 1/01/2012, 0:08:35,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        24, 1/01/2012, 0:08:36,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        25, 1/01/2012, 0:08:37,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        26, 1/01/2012, 0:08:38,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        27, 1/01/2012, 0:08:39,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        28, 1/01/2012, 0:08:40,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        29, 1/01/2012, 0:08:41,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        30, 1/01/2012, 0:08:42,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        31, 1/01/2012, 0:08:43,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        32, 1/01/2012, 0:08:44,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        33, 1/01/2012, 0:08:45,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        34, 1/01/2012, 0:08:46,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        35, 1/01/2012, 0:08:47,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
