Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
         1,11/16/2021,21:46:40,     1,20:46:41.442,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         2,11/17/2021, 0:46:40,     1,23:46:41.443,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         3,11/17/2021, 3:46:40,     1, 2:46:41.444,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         4,11/17/2021, 6:46:40,     1, 5:46:41.446,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         5,11/17/2021, 9:46:41,     1, 8:46:42.447,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         6,11/17/2021,12:46:41,     1,11:46:42.448,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         7,11/17/2021,15:46:42,     1,14:46:42.450,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         8,11/17/2021,18:46:42,     1,17:46:43.451,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
         9,11/17/2021,21:46:43,     1,20:46:43.454,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        10,11/18/2021, 0:46:43,     1,23:46:44.454,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        11,11/18/2021, 3:46:43,     1, 2:46:44.455,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        12,11/18/2021, 6:46:44,     1, 5:46:45.457,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        13,11/18/2021, 9:46:44,     1, 8:46:45.458,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        14,11/18/2021,12:46:45,     1,11:46:46.459,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        15,11/18/2021,15:46:45,     1,14:46:46.461,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        16,11/18/2021,18:46:46,     1,17:46:47.463,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        17,11/18/2021,21:46:46,     1,20:46:47.464,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        18,11/19/2021, 0:46:47,     1,23:46:48.465,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        19,11/19/2021, 3:46:47,     1, 2:46:48.466,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        20,11/19/2021, 6:46:48,     1, 5:46:48.468,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        21,11/19/2021, 9:46:48,     1, 8:46:49.468,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        22,11/19/2021,12:46:49,     1,11:46:49.470,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        23,11/19/2021,15:46:49,     1,14:46:50.470,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        24,11/19/2021,18:46:50,     1,17:46:50.472,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        25,11/19/2021,21:46:50,     1,20:46:51.473,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        26,11/20/2021, 0:46:50,     1,23:46:51.474,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        27,11/20/2021, 3:46:51,     1, 2:46:52.476,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
        28,11/20/2021, 6:46:51,     1, 5:46:52.477,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,""                                                                                                                                                                                                                                                              ,     6,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   0.000000E+00,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   9.000000E+00,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01
